song_title,artist,INDEX-VAL,index
Loud Places,Jamie xx,0.113696,333
Wasted Love (feat. Dougy),Steve Angello,0.113729,334
Black Out Stout,FIDLAR,0.113772,335
Antidote,Travis Scott,0.113844,336
Black Honey,Thrice,0.114036,337
Hands On The Wheel,ScHoolboy Q,0.114048,338
Running Up That Hill (A Deal With God),Kate Bush,0.114296,339
Close,IZECOLD,0.114759,340
Whatcha Need,W&W,0.115149,341
Nissim,The Gaslamp Killer,0.115182,342
The New International Sound,GENER8ION,0.115218,343
A Hundred Dreams from Now,Ray Bryant,0.115584,344
Tides of Neptune,Virgo,0.1158,345
Why Can't I?,Liz Phair,0.115906,346
Automatic,Castro,0.117062,347
Sabali,Amadou & Mariam,0.117412,348
Beautiful Disaster,Jon McLaughlin,0.117445,349
What Time Is Love (Live at SSL mix),Lifelike,0.117504,350
Papi Pacify,FKA twigs,0.117527,351
Neptune,Lemonade,0.117546,352
Know Yourself,Drake,0.1176,353
Legacy,Dimitri Vangelis & Wyman,0.117987,354
American Dream,Chelsea Grin,0.11809,355
Deja Vu,J. Cole,0.118193,356
Angel of Mine - Radio Mix,Monica,0.1184,357
All My Life,K-Ci & JoJo,0.118558,358
Viol - Original Mix,Gesaffelstein,0.118803,359
The Arms of the One Who Loves You,Xscape,0.118917,360
Move for Me,Kaskade,0.118932,361
The One,The Chainsmokers,0.11932,362
All These Things That I've Done,The Killers,0.119412,363
do re mi,Blackbear,0.11952,364
Teenage Crime - Axwell & Henrik B Remode,Adrian Lux,0.1196,365
Water,Jamaican Queens,0.1196,366
My Little Brown Book,Duke Ellington,0.12079,367
Romance in Seoul,Neon Bunny,0.120888,368
Sad Eyes,Crystal Castles,0.121108,369
Awake,Santé,0.121164,370
Birthday Song,2 Chainz,0.121176,371
Her Fantasy,Matthew Dear,0.121302,372
Her Fantasy,Matthew Dear,0.121302,373
"Beauty and the Beast - From ""Beauty and the Beast""",Ariana Grande,0.121524,374
Work - The Advent & Spiriakos Remix,ZZT,0.121636,375
Waiting Around For Grace,Pond,0.121757,376
Pictures Of Matchstick Men,Status Quo,0.121946,377
Unanswered,Suicide Silence,0.122388,378
Civilization,Justice,0.122808,379
No Sleep,Bougenvilla,0.122982,380
Like A Bitch - Kill The Noise Remix,Kill The Noise,0.123224,381
Ima Boss - feat. Rick Ross,Meek Mill,0.12358,382
I Can't Fall in Love Without You,Zara Larsson,0.123675,383
A Dustland Fairytale,The Killers,0.123921,384
(Everything I Do) I Do It For You,Bryan Adams,0.124188,385
Yebisah,Mark Knight,0.1242,386
Throne Room,Kim Walker-Smith,0.125195,387
Kush High,Eighty4 Fly,0.12545,388
Oblivion,The Seshen,0.125496,389
Abducted,Cults,0.126038,390
I'd Do Anything For Love (But I Won't Do That),Meat Loaf,0.126054,391
With That (feat. Duke),Young Thug,0.126168,392
Tin Man,Miranda Lambert,0.126225,393
Scared To Be Lonely (Brooks Remix),Martin Garrix,0.126236,394
Blow a Bag,Future,0.12688,395
Aloha,Chris Bear,0.12765,396
At My Best (feat. Hailee Steinfeld),Machine Gun Kelly,0.128744,397
Something Just Like This - ARMNHMR Remix,The Chainsmokers,0.128744,398
I'm Glad,Captain Beefheart & His Magic Band,0.128832,399
On Bended Knee,Boyz II Men,0.12954,400
River,Leon Bridges,0.129626,401
Inferiority,Neberu,0.129648,402
Open,Rhye,0.129724,403
I'll Pick You Up,Standing Egg,0.129978,404
Middle,DJ Snake,0.130284,405
She a Go (feat. Spinn & Taso),DJ Rashad,0.130536,406
Rose Horizon,Yellow Claw,0.131494,407
Slow Down,Clyde Carson,0.131537,408
Summer Is Over feat. Sara Bareilles,Jon McLaughlin,0.131572,409
The Moment,Tame Impala,0.132587,410
Let Me Try,Kaleidoscope,0.1326,411
A Hundred Ropes,Minor Victories,0.132904,412
Kyoto (feat. Sirah),Skrillex,0.1331,413
